x,y,z,parity
-0.61,-0.54,-4.12,1.00
-0.35,-0.33,0.80,2.00
-0.52,0.37,3.73,2.00
-1.74,-1.44,5.78,2.00
-0.38,0.27,0.37,2.00
0.75,0.28,0.68,2.00
1.17,-0.51,3.54,2.00
2.14,1.12,2.04,2.00
0.19,-0.05,2.39,2.00
-0.98,-0.47,2.94,2.00
0.82,1.15,-2.96,1.00
0.17,-0.09,-1.74,1.00
0.65,0.08,1.52,2.00
-0.04,-1.88,-1.60,1.00
-0.87,-1.08,-2.59,1.00
0.29,0.44,1.48,2.00
-0.13,0.22,-0.87,1.00
-0.37,-0.51,1.60,2.00
0.22,-0.19,-2.48,1.00
0.33,-0.46,0.81,2.00
0.31,0.13,-4.51,1.00
0.48,0.78,-2.76,1.00
-0.55,0.13,3.31,2.00
-0.52,0.74,-1.56,1.00
-0.09,-0.24,3.89,2.00
0.00,-0.00,0.10,2.00
-0.99,1.23,-3.98,1.00
0.48,1.79,-1.19,1.00
-0.01,-0.23,-0.77,1.00
1.41,0.79,5.87,2.00
-0.17,0.02,1.22,2.00
-0.75,0.84,-2.57,1.00
0.68,0.48,1.44,2.00
3.45,1.24,-4.43,1.00
2.73,1.62,4.18,2.00
0.60,-0.25,-4.37,1.00
0.18,-0.66,4.76,2.00
-0.00,-0.00,-0.66,1.00
-0.26,1.60,-1.59,1.00
-0.04,-0.05,3.18,2.00
-0.97,-0.20,1.79,2.00
-1.36,-0.90,2.57,2.00
-0.22,-0.07,3.08,2.00
2.47,-1.41,-4.88,1.00
0.10,0.94,-6.42,1.00
0.59,0.29,0.66,2.00
-1.23,-0.21,0.93,2.00
2.93,0.26,-8.26,1.00
-0.59,0.53,2.01,2.00
-3.22,0.01,-4.86,1.00
3.32,0.77,3.05,2.00
-0.21,0.22,-2.88,1.00
-0.20,-0.38,0.93,2.00
-0.71,-1.32,-2.65,1.00
-0.41,-0.72,2.73,2.00
0.01,-0.00,0.36,2.00
3.04,-3.61,1.19,2.00
0.41,0.31,0.74,2.00
